97,1
73,0
71,0
44,0
108,0
131,1
13,0
66,1
89,1
63,1
90,0
15,0
106,1
40,0
135,0
61,0
3,0
52,0
107,0
56,1
6,0
76,0
134,1
111,1
120,0
109,0
125,1
110,1
68,1
98,0
105,1
119,1
11,1
133,0
93,0
41,0
95,0
1,0
91,1
124,0
42,1
4,1
17,1
38,0
5,0
53,1
130,1
83,1
0,0
34,1
28,0
55,0
75,0
35,0
23,0
74,1
31,1
96,1
57,1
112,1
123,1
32,1
121,0
14,0
100,1
19,0
29,0
49,0
118,1
99,1
82,1
64,0
136,1
79,0
69,0
80,0
20,0
132,0
72,1
77,1
25,0
37,0
81,1
126,0
46,0
129,1
39,1
102,1
65,1
58,1
12,0
127,1
88,0
70,1
87,0
36,1
21,1
9,1
103,1
67,1
117,0
47,0
